TIME_TOLERANCE,HIDDEN,MAX_DISTANCE,LEARNING_RATE,ITERATIONS,TARGET_VALUE,TIME_FOR_ALL_SENSORS,EWX MEAN,EWX STD,GRK MEAN,GRK STD
600000,0,1,0.05,1,0,41475,1.201617555,0.341450726,1.267774284,0.33078582
600000,0,1,0.05,1,0.25,38772,-0.015307489,0.17156553,-0.035492631,0.155010289
600000,0,1,0.05,1,0.5,37128,3.17E-04,0.200625978,3.98E-04,0.178732672
600000,0,1,0.05,1,0.75,38139,0.016503722,0.173116175,0.037037769,0.155372096
600000,0,1,0.05,1,1,35532,-1.201189165,0.340876928,-1.266350579,0.32922705
600000,0,1,0.05,2,0,53317,0.82059658,0.22317472,0.870963582,0.220183554
600000,0,1,0.05,2,0.25,53982,-0.028486057,0.084037344,-0.025437826,0.071459361
600000,0,1,0.05,2,0.5,52322,3.08E-04,0.09011653,5.11E-04,0.078398129
600000,0,1,0.05,2,0.75,56540,0.027978567,0.081631884,0.024592918,0.071648305
600000,0,1,0.05,2,1,55477,-0.820356576,0.22289964,-0.871375829,0.220440839
600000,0,1,0.05,4,0,91635,0.570689417,0.153951305,0.60706427,0.152758795
600000,0,1,0.05,4,0.25,91481,-0.008282124,0.043693978,-0.006216605,0.037215579
600000,0,1,0.05,4,0.5,92358,-1.35E-05,0.044099766,-1.31E-04,0.038136646
600000,0,1,0.05,4,0.75,93069,0.008229597,0.04372625,0.006196389,0.03714155
600000,0,1,0.05,4,1,91463,-0.570764685,0.153972346,-0.607019208,0.152745791
600000,0,1,0.05,8,0,168307,0.399053966,0.107425106,0.424737833,0.106724484
600000,0,1,0.05,8,0.25,166920,-0.002342824,0.024059348,-0.001572661,0.019355411
600000,0,1,0.05,8,0.5,168949,4.79E-06,0.021976039,-3.89E-05,0.017992279
600000,0,1,0.05,8,0.75,164300,0.0023453,0.023782343,0.001580302,0.019611822
600000,0,1,0.05,8,1,164649,-0.399041971,0.107421778,-0.424733441,0.106728677
600000,0,1,0.05,16,0,308993,0.279695261,0.075229435,0.297810496,0.074780082
600000,0,1,0.05,16,0.25,315356,-7.02E-04,0.013195549,-3.89E-04,0.01024739
