HIDDEN,MAX_DISTANCE,LEARNING_RATE,ITERATIONS,TIME_FOR_ALL_SENSORS,EWX STD,GRK STD
0,1.0,0.35,1,8836,0.33254003735714666,0.3278816509356775
0,1.0,0.35,2,11043,0.22031495522561323,0.21967360909970954
0,1.0,0.35,4,18360,0.15264510276261048,0.15224201160892722
0,1.0,0.35,8,33281,0.10659762851423989,0.10636252254450737
0,1.0,0.35,16,62407,0.07466118648145807,0.07456088880117827
0,1.5,0.35,1,7268,0.32455941447759235,0.3171573342870232
0,1.5,0.35,2,11119,0.1931353731655204,0.19893177879558974
0,1.5,0.35,4,19134,0.12286371224735297,0.12167975515384959
0,1.5,0.35,8,34827,0.08126379712879256,0.08314105736682882
0,1.5,0.35,16,65898,0.05726810574894444,0.05722029037402585
1,1.0,0.35,1,12651,0.41713547727064104,0.3341320196174947
1,1.0,0.35,2,20976,0.27615184080486194,0.21250202969322843
1,1.0,0.35,4,37444,0.1667890521952173,0.1219313245185614
1,1.0,0.35,8,69088,0.11783271006354816,0.07363838776334895
1,1.0,0.35,16,133324,0.07024062062318262,0.0533037599637191
1,1.5,0.35,1,15255,0.6215489022233822,0.503338633397867
1,1.5,0.35,2,25459,0.48079420679970436,0.3414903886229489
1,1.5,0.35,4,45704,0.36476794420126735,0.24914917778026827
1,1.5,0.35,8,86333,0.2561723733347332,0.17576084040718715
1,1.5,0.35,16,168191,0.20643242915148133,0.11851715228053049
2,1.0,0.35,1,17950,0.416407454122783,0.3371446740810208
2,1.0,0.35,2,30985,0.2931437107698926,0.2095149816847471
2,1.0,0.35,4,54971,0.20020189270898694,0.12569303655934888
2,1.0,0.35,8,104739,0.13009437422754794,0.0873227995158613
2,1.0,0.35,16,201373,0.07840175146228501,0.05556719625368591
2,1.5,0.35,1,23168,0.6626331349622213,0.5121713591195267
2,1.5,0.35,2,39930,0.5068724264964566,0.3617511104744413
2,1.5,0.35,4,72848,0.4073567632322944,0.25784274483910674
2,1.5,0.35,8,138008,0.3137614694552558,0.17931336796065625
2,1.5,0.35,16,273510,0.25337726297707863,0.12144352587774236
4,1.0,0.35,1,29604,0.4303096585175897,0.3327771033138968
4,1.0,0.35,2,50625,0.28079617145199215,0.19855703341216918
4,1.0,0.35,4,93639,0.2025624807262674,0.1315381072770787
4,1.0,0.35,8,174641,0.12631585001321094,0.06842493636157831
4,1.0,0.35,16,350696,0.09523944855138934,0.047897357126849456
4,1.5,0.35,1,38816,0.6593625081869745,0.5026427786388535
4,1.5,0.35,2,67909,0.5158921542005019,0.3741218717155063
4,1.5,0.35,4,127831,0.4040978982199736,0.253515196416059
4,1.5,0.35,8,243486,0.3201185542292262,0.1835607821707633
4,1.5,0.35,16,475112,0.2583801146358054,0.15524634206191917
8,1.0,0.35,1,52131,0.41994751957983706,0.32187970759745854
8,1.0,0.35,2,91246,0.29370695617412246,0.20610933863869252
8,1.0,0.35,4,168089,0.191713679024945,0.11386126175876278
8,1.0,0.35,8,320831,0.14263929595805194,0.07388708593996347
8,1.0,0.35,16,635808,0.08455655269369503,0.04804972393885483
8,1.5,0.35,1,85194,0.6569212870007354,0.5067803207961548
8,1.5,0.35,2,153166,0.5330307807429556,0.35746994807348714
8,1.5,0.35,4,292835,0.4056665225766356,0.2761747027298698
8,1.5,0.35,8,564907,0.314088433436703,0.18169254563847126
8,1.5,0.35,16,1082744,0.25099434300160783,0.12026084467786811
