EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
5135624,TRAVIS CO.,BERGSTROM AFB,3/16/2000,1620,Tornado, ,F0,0,0,0,0,TX,CST, ,92133,C,453,EWX,0,0,OFFICIAL NWS OBS., ,0.2,30, , , , ,BERGSTROM AFB,30.2,-97.67,30.2,-97.67,1
5135625,TRAVIS CO.,PFLUGERVILLE,3/16/2000,1710,Tornado, ,F0,0,0,0,0,TX,CST, ,92133,C,453,EWX,0,0,LAW ENFORCEMENT, ,0.1,20, , , , ,PFLUGERVILLE,30.43,-97.62,30.43,-97.62,2
5135626,TRAVIS CO.,AUSTIN,3/16/2000,1718,Hail,1.75, ,0,0,0,0,TX,CST, ,92133,C,453,EWX,0,0,LAW ENFORCEMENT, , , ,10,N,10,N,AUSTIN,30.43,-97.75,30.43,-97.75,3
5135730,TRAVIS CO.,AUSTIN,4/7/2000,1905,Hail,0.75, ,0,0,0,0,TX,CST, ,92269,C,453,EWX,0,0,LAW ENFORCEMENT, , , ,5,N,5,N,AUSTIN,30.35,-97.75,30.35,-97.75,4
5135733,TRAVIS CO.,AUSTIN,4/11/2000,2342,Thunderstorm Wind,51, ,0,0,20000,0,TX,CST,M,92271,C,453,EWX,0,0,AWOS,ASOS,MESONET,ETC, , , , ,AUSTIN,30.28,-97.75,30.28,-97.75,5
5135734,TRAVIS CO.,AUSTIN,4/11/2000,2350,Hail,1, ,0,0,0,0,TX,CST, ,92271,C,453,EWX,0,0,GENERAL PUBLIC, , , ,10,W,10,W,AUSTIN,30.28,-97.92,30.28,-97.92,6
5145203,TRAVIS CO.,LAGO VISTA,5/12/2000,1950,Hail,1.75, ,0,0,0,0,TX,CST, ,94925,C,453,EWX,0,0,LAW ENFORCEMENT, , , ,8,N,8,N,LAGO VISTA,30.58,-97.98,30.58,-97.98,7
5143966,TRAVIS CO.,AUSTIN,5/27/2000,2101,Thunderstorm Wind,50, ,0,0,0,0,TX,CST,M,94930,C,453,EWX,0,0,BROADCAST MEDIA, , , , , , , ,AUSTIN,30.28,-97.75,30.28,-97.75,8
5143967,TRAVIS CO.,AUSTIN,5/27/2000,2122,Thunderstorm Wind,51, ,0,0,0,0,TX,CST,M,94930,C,453,EWX,0,0,BROADCAST MEDIA, , , , , , , ,AUSTIN,30.28,-97.75,30.28,-97.75,9
5150993,TRAVIS CO.,SOUTHWEST PORTION,6/9/2000,1230,Flash Flood, , ,0,0,30000,0,TX,CST, ,96909,C,453,EWX,0,0,LAW ENFORCEMENT, , , , , , , ,SOUTHWEST PORTION, , , , ,10
5164060,TRAVIS CO.,AUSTIN,7/16/2000,1500,Lightning, , ,0,1,0,0,TX,CST, ,98747,C,453,EWX,0,0,BROADCAST MEDIA, , , , , , , ,AUSTIN, , , , ,11
